id,title,genres,averageRating,numVotes,releaseYear
tt0070644,"Scenes from a Marriage",Drama,8.5,17429,1973
tt4295140,"Chef's Table","Biography, Documentary",8.5,17266,2015
tt8317568,"Broken But Beautiful","Drama, Romance",8.5,17225,2018
tt0185133,"Yu Yu Hakusho: Ghost Files","Action, Adventure, Animation",8.5,16605,1992
tt1230180,"The Angry Video Game Nerd","Action, Comedy, Sci-Fi",8.5,16006,2004
tt0131179,"Detective Conan","Action, Animation, Comedy",8.5,15912,1996
tt6958022,"The Defiant Ones","Biography, Crime, Documentary",8.5,15783,2017
tt0061287,"The Prisoner","Drama, Mystery, Sci-Fi",8.5,15341,1967
tt11691684,"Flower of Evil","Crime, Mystery, Romance",8.5,15310,2020
tt0934320,"Summer Heights High","Comedy, Drama, Family",8.5,15251,2007
tt0098825,"House of Cards",Drama,8.5,15246,1990
tt0807832,Mushi-Shi,"Animation, Drama, Fantasy",8.5,14980,2005
tt26225038,"Death's Game","Drama, Fantasy",8.5,14796,2023
tt22185582,Sixer,"Drama, Sport",8.5,14132,2022
tt27867155,"Mr Bates vs. The Post Office","Biography, Drama",8.5,12778,2024
tt0315008,"Great Teacher Onizuka","Animation, Comedy, Drama",8.5,12084,1999
tt0161952,"Saint Seiya: Knights of the Zodiac","Action, Adventure, Animation",8.5,11524,1986
tt12369754,Staged,"Comedy, Drama",8.5,10674,2020
tt0062550,"The Bugs Bunny/Road Runner Hour","Animation, Comedy",8.5,10349,1968
tt11052470,"Move to Heaven",Drama,8.5,10185,2021
tt2301351,"RuPaul's Drag Race All Stars","Game-Show, Reality-TV",8.5,10158,2012
tt1632701,Suits,"Comedy, Drama",8.4,497239,2011
tt0460681,Supernatural,"Drama, Fantasy, Horror",8.4,496003,2005
tt11198330,"House of the Dragon","Action, Adventure, Drama",8.4,450682,2022
tt2467372,"Brooklyn Nine-Nine","Comedy, Crime",8.4,379015,2013
tt0285403,Scrubs,"Comedy, Drama",8.4,273744,2001
tt5675620,"The Punisher","Action, Crime, Drama",8.4,272434,2017
tt12637874,Fallout,"Action, Adventure, Drama",8.4,264917,2024
tt5834204,"The Handmaid's Tale","Drama, Sci-Fi, Thriller",8.4,264175,2017
tt1119644,Fringe,"Drama, Mystery, Sci-Fi",8.4,260845,2008
